Спортсмен,Unnamed: 1,Команда,ДР,Рост,Вес
Пак Сон А,,Южная Корея,16.04.1991,168.0,61.0
Андрея Ааней,,Румыния,18.11.1993,,
Нестор Абад,,Испания,,,
Патимат Абакарова,,Азербайджан,23.10.1994,165.0,49.0
Люк Абало,,Франция,06.09.1984,182.0,
Джованни Абаньяле,,Италия,11.01.1995,198.0,90.0
Аббас Абубакар Аббас,,Бахрейн,17.05.1996,,
Лоис Аббинг,,Нидерланды,13.08.1992,177.0,
Сальван Джасим Аббуд,,Ирак,26.09.1991,,
Абдельрахман Абдалла,,Катар,01.01.1994,189.0,
Абубакер Хайдар Абдалла,,Катар,28.08.1996,,
Саид Абдвали,,Иран,04.11.1989,170.0,80.0
Сами Абдел-Разек,,Египет,10.04.1980,170.0,60.0
Ибрахим Рамадан Абдельбаки,,Египет,06.02.1988,,
Маха Абдельсалам,,Египет,08.06.1998,,
Раджаб Абдельхай,,Египет,04.03.1991,170.0,94.0
Башир Абди,,Бельгия,10.02.1989,168.0,59.0
Адлан Абдурашидов,,Россия,31.07.1990,173.0,60.0
Моджтаба Абедини,,Иран,11.08.1984,180.0,83.0
Артур Абеле,,Германия,30.07.1986,184.0,80.0
Дженнифер Абель,,Канада,23.08.1991,160.0,62.0
Келси Аби,,Канада,06.07.1991,170.0,63.0
Кэтрин Абилла,,Кения,01.04.1989,162.0,56.0
Аугустина Абиф,,Аргентина,08.03.1992,165.0,55.0
Флоренсия Абиф,,Аргентина,22.08.1993,165.0,55.0
Диана Абла,,Бразилия,29.07.1995,175.0,70.0
Денис Аблязин,,Россия,03.08.1992,161.0,
Елена Абрамчук,,Беларусь,14.02.1988,,
Тадессе Абрахам,,Швейцария,,,
Диогу Абреу,,Португалия,05.09.1993,184.0,75.0
Бурхан Абро,,Джибути,30.05.1995,,
Анастасия Абросимова,,Россия,17.07.1990,165.0,50.0
Жюльен Абсалон,,Франция,,,
Ахмад Абугауш,,Иордания,01.02.1996,178.0,68.0
Эндрю Абуд,,Австралия,27.04.1990,197.0,89.0
Кариман Абулджадаель,,Саудовская Аравия,11.05.1994,,
Мохаммед Абухуса,,Палестина,30.12.1992,,
Мамду Абуэбайд,,Египет,01.01.1988,187.0,
Азизулхасси Аванг,,Малайзия,05.01.1988,166.0,60.0
Назели Авдалян,,Армения,31.10.1986,157.0,69.0
Антон Авдеев,,Россия,08.09.1986,,
Максим Аверин,,Азербайджан,28.11.1985,189.0,75.0
Екатерина Аврамова,,Турция,12.11.1991,,
Тим Агаба,,ЮАР,23.07.1989,193.0,104.0
Левон Агасян,,Армения,19.01.1995,,
Кларис Агбегнену,,Франция,25.10.1992,164.0,63.0
Майра Агийяр,,Бразилия,03.08.1981,178.0,78.0
Макарена Агилар,,Испания,12.03.1985,170.0,
Иньяки Агилар,,Испания,09.09.1983,189.0,82.0
Фелипе Агилар,,Чили,07.11.1974,,
Эвелис Агилар,,Колумбия,03.01.1993,,
Алессандра Агилар,,Испания,01.07.1978,,
Юленмис Агилар,,Куба,,,
Габриелла Агирре,,Аргентина,19.02.1986,164.0,58.0
Каролина Агирре,,Колумбия,29.01.1996,160.0,59.0
Шри Вахьюни Агустьяни,,Индонезия,13.08.1994,,
Леони Адам,,Германия,02.01.1993,162.0,54.0
Валери Адамс,,Новая Зеландия,06.10.1984,,
Каммиль Адамс,,США,11.09.1991,173.0,65.0
Антуан Адамс,,Сент-Киттс и Невис,31.08.1988,180.0,79.0
Никола Адамс,,Великобритания,26.10.1982,164.0,
Пол Адамс,,Австралия,,,
Сэйя Адати,,Япония,24.06.1995,172.0,67.0
Джеймс Адеде,,Кения,31.10.1986,162.0,93.0
Олувакеми Адекойя,,Бахрейн,16.01.1993,,
Бико Адема,,Кения,01.09.1987,177.0,85.0
Вера Адриан,,Намибия,28.10.1993,,
Тони Азеведо,,США,21.11.1981,185.0,89.0
Николь Азингер,,США,12.05.1998,163.0,58.0
Ахмад Амсьяр Азман,,Малайзия,28.08.1992,,
Самир Аит Саид,,Франция,,,
Суад Аит Салем,,Алжир,06.01.1979,,
Анасс Аит Эль-Абдия,,Марокко,21.03.1993,,
Хайвот Айалю,,Эфиопия,06.03.1990,173.0,51.0
Алмаз Айана,,Эфиопия,21.11.1991,,
Камиль Айглон,,Франция,21.05.1985,180.0,
Ханнес Айгнер,,Германия,19.03.1989,,
Венцислав Айдарски,,Болгария,17.02.1991,,
Неринга Айдитите,,Литва,05.06.1983,,
