август,ср,чт,пт,сб,вс,пн,вт,ср,чт,пт,сб,вс,пн,вт,ср,чт,пт,сб,вс,Unnamed: 20_level_0
август,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Unnamed: 20_level_1
День олимпиады,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Unnamed: 20_level_2
Академическая гребля,,,,•,•,•,•,,6  Мужчины  16:10  Четверка парная  16:45  Двойка распашная  17:25  Двойка парная  17:45  Четверка распашная легкая  Женщины  16:25  Четверка парная  17:05  Двойка парная,4  Мужчины  16:45  Двойка парная легкая  17:25  Четверка распашная  Женщины  16:30  Двойка парная легкая  17:05  Двойка распашная,4  Мужчины  16:30  Одиночка  17:25  Восьмерка  Женщины  16:45  Одиночка  17:05  Восьмерка,,,,,,,,,14
Бадминтон,,,,,,,,,•,•,•,•,•,•,1  Микст  17:50  Микст,1  Женщины  17:50  Парный разряд,2  Мужчины  17:50  Парный разряд  Женщины  17:00  Одиночный разряд,1  Мужчины  15:20  Одиночный разряд,,5
Баскетбол,,,,•,•,•,•,•,•,•,•,•,•,•,•,•,•,1  Женщины  21:30  Финал,1  Мужчины  21:45  Финал,2
Батут,,,,,,,,,,1  Женщины  20:00  Личное первенство,1  Мужчины  20:00  Личное первенство,,,,,,,,,2
Бич-волей,,,,•,•,•,•,•,•,•,•,•,•,•,1  Женщины  05:59  Финал,1  Мужчины  05:59  Финал,,,,2
Бокс,,,,•,•,•,•,•,•,•,•,1  Мужчины  20:40  до 49 кг,1  Мужчины  01:15  до 91 кг,1  Мужчины  01:15  до 60 кг,1  Мужчины  22:30  до 69 кг,1  Мужчины  21:30  до 81 кг,1  Женщины  22:00  до 60 кг,3  Мужчины  20:15  до 56 кг  21:00  до 75 кг  Женщины  20:00  до 51 кг,4  Мужчины  20:15  до 52 кг  21:10  до 64 кг  21:30  свыше 91 кг  Женщины  20:00  до 75 кг,13
Вело-bmx,,,,,,,,,,,,,,,•,•,2  Мужчины  21:30  Финал  Женщины  21:00  Финал,,,2
Велотрек,,,,,,,,,1  Мужчины  00:20  Командный спринт,2  Мужчины  00:40  Командная гонка преследования  Женщины  00:10  Командный спринт,2  Женщины  22:55  Командная гонка преследования  23:30  Кейрин,1  Мужчины  23:00  Спринт,1  Мужчины  23:30  Омниум,3  Мужчины  00:30  Кейрин  Женщины  23:00  Омниум  23:45  Спринт,,,,,,10
Велошоссе,,,,1  Мужчины  15:30  Групповая гонка,1  Женщины  18:30  Групповая гонка,,,2  Мужчины  16:00  Гонка с раздельным стартом  Женщины  14:30  Гонка с раздельным стартом,,,,,,,,,,,,4
Водное поло,,,,•,,•,•,•,•,•,•,•,•,•,•,•,1  Женщины  21:30  Финал,1  Мужчины  23:50  Финал,,2
Волейбол,,,,•,•,•,•,•,•,•,•,•,•,•,•,•,•,1  Женщины  04:15  Финал,1  Мужчины  19:15  Финал,2
Вольная борьба,,,,,,,,,,,,,,,3  Женщины  23:20  до 48 кг  23:50  до 58 кг  00:30  до 69 кг,3  Женщины  23:30  до 53 кг  00:30  до 63 кг  01:30  до 75 кг,2  Мужчины  23:30  до 57 кг  00:30  до 74 кг,2  Мужчины  23:30  до 86 кг  00:30  до 125 кг,2  Мужчины  20:30  до 65 кг  21:30  до 97 кг,12
Гандбол,,,,•,•,•,•,•,•,•,•,•,•,•,•,•,•,1  Женщины  21:30  Финал,1  Мужчины  20:00  Финал,2
Гольф,,,,,,,,,•,•,•,1  Мужчины  13:00  Личное первенство,,,•,•,•,1  Женщины  13:00  Финал,,2
Гребля на байдарках и каноэ,,,,,,,,,,,,,•,"4  Мужчины  15:10  Каноэ-одиночка, 1000 м  16:10  Байдарка-одиночка, 1000 м  Женщины  15:25  Байдарка-двойка, 500 м  15:45  Байдарка-одиночка, 200 м",•,"4  Мужчины  15:15  Каноэ-одиночка, 200 м  15:40  Байдарка-двойка, 200 м  15:00  Байдарка-двойка, 1000 м  Женщины  16:10  Байдарка-одиночка, 500 м",•,"4  Мужчины  15:10  Байдарка-одиночка, 200 м  15:20  Каноэ-двойка, 1000 м  16:10  Байдарка-четверка, 1000 м  Женщины  15:45  Байдарка-четверка, 500 м",,12
Гребной слалом,,,,,•,•,1  Мужчины  21:15  Каноэ-одиночка,1  Мужчины  21:15  Байдарка-одиночка,2  Мужчины  20:15  Каноэ-двойка  Женщины  21:00  Байдарка-одиночка,,,,,,,,,,,4
Греко-римская борьба,,,,,,,,,,,,2  Мужчины  23:30  до 59 кг  23:40  до 75 кг,2  Мужчины  23:15  до 85 кг  23:40  до 130 кг,2  Мужчины  23:30  до 66 кг  00:30  до 98 кг,,,,,,6
Дзюдо,,,•,2  Мужчины  23:45  до 60 кг  Женщины  23:00  до 48 кг,2  Мужчины  22:30  до 66 кг  Женщины  22:30  до 52 кг,2  Мужчины  23:30  до 73 кг  Женщины  23:15  до 57 кг,2  Мужчины  23:45  до 81 кг  Женщины  23:20  до 63 кг,2  Мужчины  23:30  до 90 кг  Женщины  23:00  до 70 кг,2  Мужчины  23:30  до 100 кг  Женщины  23:00  до 78 кг,2  Мужчины  23:30  свыше 100 кг  Женщины  23:00  свыше 78 кг,,,,,,,,,,14
Конный спорт,,,,•,•,•,"2  Микст  16:00  Троеборье, командное первенство  20:00  Троеборье, личное первенство",•,•,"1  Микст  16:00  Выездка, командное первенство",,•,"1  Микст  16:00  Выездка, личное первенство",•,"1  Микст  16:00  Конкур, командное первенство",,"1  Микст  16:00  Конкур, личное первество",,,6
