Казахстан на Олимпийских играх,Казахстан на Олимпийских играх.1,Unnamed: 2,Unnamed: 3
,,,
Код МОК,KAZ,,
НОК,Национальный олимпийский комитет Республики Казахстан,,
Олимпийские игры в Рио-де-Жанейро,Олимпийские игры в Рио-де-Жанейро,,
Спортсмены,104 в 17 видах спорта,,
Знаменосец,Руслан Жапаров (открытие и закрытие),,
МедалиМесто 22,Золото3 Серебро5 Бронза10 Всего18,,
Золото3,Серебро5,Бронза10,Всего18
Участие в летних Олимпийских играх,Участие в летних Олимпийских играх,,
1996 • 2000 • 2004 • 2008 • 2012 • 2016 • 2020,1996 • 2000 • 2004 • 2008 • 2012 • 2016 • 2020,,
Участие в зимних Олимпийских играх,Участие в зимних Олимпийских играх,,
1994 • 1998 • 2002 • 2006 • 2010 • 2014 • 2018,1994 • 1998 • 2002 • 2006 • 2010 • 2014 • 2018,,
См. также,См. также,,
СССР (1952-1988)  Объединённая команда (1992 З-1992),СССР (1952-1988)  Объединённая команда (1992 З-1992),,
