Unnamed: 0_level_0,Общее количество медалей,Общее количество медалей,Общее количество медалей,Общее количество медалей,Всего
Место,Страна,Золото,Серебро,Бронза,Всего
1,США,46,37,38,121
2,Великобритания,27,23,17,67
3,Китай,26,18,26,70
4,Россия,19,17,19,55
5,Германия,17,10,15,42
6,Япония,12,8,21,41
7,Франция,10,18,14,42
8,Южная Корея,9,3,9,21
9,Италия,8,12,8,28
10,Австралия,8,11,10,29
11,Нидерланды,8,7,4,19
12,Венгрия,8,3,4,15
13,Бразилия,7,6,6,19
14,Испания,7,4,6,17
15,Кения,6,6,1,13
16,Ямайка,6,3,2,11
17,Хорватия,5,3,2,10
18,Куба,5,2,4,11
19,Новая Зеландия,4,9,5,18
20,Канада,4,3,15,22
21,Узбекистан,4,2,7,13
22,Казахстан,3,5,9,17
23,Колумбия,3,2,3,8
24,Швейцария,3,2,2,7
25,Иран,3,1,4,8
26,Греция,3,1,2,6
27,Аргентина,3,1,0,4
28,Дания,2,6,7,15
29,Швеция,2,6,3,11
30,ЮАР,2,6,2,10
31,Украина,2,5,4,11
32,Сербия,2,4,2,8
33,Польша,2,3,6,11
34,КНДР,2,3,2,7
35,Бельгия,2,2,2,6
35,Таиланд,2,2,2,6
37,Словакия,2,2,0,4
38,Грузия,2,1,4,7
39,Азербайджан,1,7,10,18
40,Белоруссия,1,4,4,9
41,Турция,1,3,4,8
42,Армения,1,3,0,4
43,Чехия,1,2,7,10
44,Эфиопия,1,2,5,8
45,Словения,1,2,1,4
46,Индонезия,1,2,0,3
47,Румыния,1,1,3,5
48,Бахрейн,1,1,0,2
48,Вьетнам,1,1,0,2
50,Тайвань,1,0,2,3
51,Багамские Острова,1,0,1,2
51,Кот-д’Ивуар,1,0,1,2
51,Независимые олимпийские спортсмены,1,0,1,2
54,Иордания,1,0,0,1
54,Косово,1,0,0,1
54,Пуэрто-Рико,1,0,0,1
54,Сингапур,1,0,0,1
54,Таджикистан,1,0,0,1
54,Фиджи,1,0,0,1
60,Малайзия,0,4,1,5
61,Мексика,0,3,2,5
62,Алжир,0,2,0,2
62,Ирландия,0,2,0,2
64,Литва,0,1,3,4
65,Болгария,0,1,2,3
65,Венесуэла,0,1,2,3
67,Индия,0,1,1,2
67,Монголия,0,1,1,2
69,Бурунди,0,1,0,1
69,Гренада,0,1,0,1
69,Катар,0,1,0,1
69,Нигер,0,1,0,1
69,Филиппины,0,1,0,1
76,Норвегия,0,0,4,4
75,Египет,0,0,3,3
75,Тунис,0,0,3,3
77,Израиль,0,0,2,2
78,Австрия,0,0,1,1
78,Доминиканская Республика,0,0,1,1
78,Марокко,0,0,1,1
78,Молдавия,0,0,1,1
78,Нигерия,0,0,1,1
78,ОАЭ,0,0,1,1
78,Португалия,0,0,1,1
78,Тринидад и Тобаго,0,0,1,1
78,Финляндия,0,0,1,1
78,Эстония,0,0,1,1
Всего,Всего,307,307,360,974
